"Geography","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025"
,"Units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manitoba","5.269","5.340","9.865","9.334","5.353","7.353","11.091","5.047","9.063","7.088","8.840","6.184","3.767","4.086","3.933","8.241","7.962","5.269","9.585","9.608","6.410","6.655","4.200","4.424","7.100","3.465","3.869","8.019","3.123","4.135","8.756","4.992","8.506","5.714","4.049","4.885","5.334","4.522","2.886","5.083","5.712","5.192","7.813","4.980","5.189","5.695","7.052","4.458","11.226","8.836","8.027","5.922","10.778","6.932","5.112","7.307","6.384","5.487","7.046","8.208","4.604","4.861","7.405","6.243","6.347","6.708","9.460","9.788","9.748","6.566","9.814","6.445","6.871","5.615","5.783","6.595","9.380","10.099","7.088","6.959","4.972","7.707","6.526","5.793","7.267","5.169","5.534","7.506","4.752","8.189","7.805","5.940","4.570","11.006","12.707","7.545","9.734","7.768","5.752","7.062","8.213","11.166","7.582","7.730","9.883","5.782","7.249","8.347","9.085","9.382","7.498","7.702","7.365","8.813","7.567","6.876","4.999","10.122","11.350","6.151","5.551","9.102","8.223","4.631","7.663","7.731","10.462","7.095","5.139","3.526","8.856","7.386","4.858","5.260","5.510","9.115","3.976","10.289","10.305","7.993","6.034","9.172","8.495","5.517","5.767"
"Saskatchewan","8.044","4.868","7.341","6.456","7.931","8.141","8.820","10.493","14.249","9.555","6.597","6.780","9.036","6.127","6.170","10.202","8.309","7.674","8.970","9.428","10.645","8.780","7.648","6.093","4.795","5.060","4.931","3.957","5.903","7.077","5.230","4.362","3.904","4.394","7.448","4.745","4.467","5.076","3.767","4.853","3.698","4.892","5.609","6.610","4.994","4.885","4.122","5.048","3.828","5.004","5.057","4.278","5.274","5.250","5.452","7.214","3.836","5.596","4.177","4.488","5.752","3.600","2.165","2.353","4.386","2.986","3.107","3.865","3.574","6.466","2.545","2.311","2.513","1.610","1.866","1.680","2.412","3.055","1.546","3.115","3.885","2.802","2.233","2.583","3.647","2.114","1.820","2.316","2.019","2.638","8.300","2.691","2.079","2.395","3.490","3.316","5.130","3.601","6.227","4.646","5.532","3.772","2.474","2.191","6.745","2.892","4.113","3.690","2.376","4.059","2.621","6.484","4.744","6.989","3.592","5.583","3.031","4.964","2.768","3.364","2.486","6.287","3.166","2.601","2.630","7.190","5.809","6.067","3.280","4.243","5.622","5.937","3.464","3.205","3.418","4.159","1.815","4.626","7.495","3.473","6.181","4.848","5.193","3.731","3.500"
"Alberta","30.691","34.555","34.010","39.816","42.869","38.450","35.948","29.337","31.818","36.962","43.008","35.878","38.995","35.334","39.928","40.077","34.694","54.159","38.662","44.314","47.310","40.442","38.256","34.593","43.347","43.181","50.964","31.928","34.043","42.007","34.891","34.985","36.352","31.264","42.155","25.129","23.312","22.664","22.771","29.122","22.475","24.271","25.453","19.674","28.335","25.696","25.182","26.474","18.287","27.029","35.590","31.673","32.292","30.695","33.628","25.451","28.945","30.326","34.640","23.306","25.238","23.986","27.083","30.106","35.727","25.861","30.161","33.010","22.224","17.607","25.621","18.646","24.689","20.499","19.594","25.708","22.648","32.058","29.834","30.665","33.421","24.164","26.341","38.609","20.681","19.748","31.445","22.686","18.617","14.961","23.380","20.870","26.625","32.827","27.104","31.457","30.336","27.068","28.043","32.692","34.970","29.756","31.338","31.103","26.409","36.380","42.543","32.531","25.374","31.421","32.254","41.274","46.498","38.485","41.380","33.661","40.973","47.210","31.728","26.931","27.472","30.319","26.814","27.600","36.811","26.429","38.925","40.149","48.825","41.147","41.896","44.234","41.918","49.207","40.093","45.984","48.548","42.391","51.376","48.075","46.576","53.950","60.898","44.646","47.886"
"British Columbia","23.001","22.083","25.844","24.044","22.608","30.837","32.846","26.906","31.258","25.446","28.134","31.873","26.211","22.161","27.196","26.524","30.120","28.451","28.102","35.939","29.423","23.929","30.184","30.975","27.251","24.431","33.436","37.420","25.397","36.410","37.409","27.634","29.136","36.020","28.108","35.228","34.597","55.014","43.660","46.177","36.042","49.567","39.996","36.674","48.486","27.705","45.703","41.468","28.303","31.050","47.616","45.923","48.101","40.199","48.251","37.922","40.339","56.865","46.502","51.457","45.118","34.147","49.015","40.822","43.040","36.406","43.213","47.274","27.954","32.968","40.192","51.127","43.302","38.157","34.516","52.547","55.594","61.706","50.837","36.719","41.667","34.254","48.275","43.042","29.706","41.657","33.399","29.843","38.785","38.766","40.520","43.748","32.129","33.248","50.190","43.779","38.455","44.712","70.479","39.200","47.336","67.466","50.999","46.987","35.205","36.079","39.669","54.989","38.883","34.984","32.562","54.045","42.112","56.242","48.517","48.668","53.436","44.860","48.478","57.704","51.071","38.531","52.209","61.338","40.861","65.267","48.386","47.951","39.177","60.550","39.512","62.439","30.994","46.601","60.700","54.635","46.174","40.825","49.009","34.632","43.814","43.776","51.433","47.063","39.240"




Footnotes:
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically."
2,"These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to <a href="https://www.cmhc-schl.gc.ca/about-us/terms-conditions/hmip-terms-conditions" rel="external noopener noreferrer" target="_blank">CMHC Licence Agreement for the Use of Data (opens new window)</a>."
3,"For additional information and definitions, refer to <a href="https://www.cmhc-schl.gc.ca/professionals/housing-markets-data-and-research/housing-research/surveys/methods/methodology-rental-market-survey" rel="external noopener noreferrer" target="_blank">CMHC Rental Market Survey Methodology and Definitions (opens new window)</a>."



"How to cite: Statistics Canada. Table 34-10-0158-01  Canada Mortgage and Housing Corporation, housing starts, all areas, Canada and provinces, seasonally adjusted at annual rates, monthly (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410015801
